pub_date,gender,charWRDS,bodyWRDS,allWRDS,percentage
1887,M,492024,40908,532932,7.676026209722816
1888,F,216694,32111,248805,12.906091115532245
1888,M,437712,35142,472854,7.431892296565114
1889,F,209794,29752,239546,12.420161472118089
1889,M,398570,31554,430124,7.33602403027964
1890,F,235074,34744,269818,12.87682808411596
1890,M,459451,37279,496730,7.504881927807864
1891,F,187524,29441,216965,13.569469730140806
1891,M,332241,29123,361364,8.059186858679892
1892,F,219575,33157,252732,13.119430859566656
1892,M,412064,35420,447484,7.915366806410956
1893,F,206310,31067,237377,13.087620114838423
1893,M,361215,30465,391680,7.7780330882352935
1894,F,229691,32876,262567,12.520994641367727
1894,M,430147,32577,462724,7.0402659036488275
1895,F,115100,17204,132304,13.003386141008585
1895,M,196644,17488,214132,8.166925074253264
1896,F,107671,17681,125352,14.105080094454017
1896,M,199508,19039,218547,8.711627247228284
1897,F,60813,10460,71273,14.675964250136797
1897,M,117580,12827,130407,9.836128428688644
1898,F,41367,6660,48027,13.867199700168657
1898,M,64817,8318,73135,11.37348738634033
1899,F,54210,9090,63300,14.360189573459717
1899,M,90775,12650,103425,12.231085327532028
1900,F,63691,11914,75605,15.758217049136961
1900,M,118849,17846,136695,13.055342185156734
1901,F,63511,11048,74559,14.817795303048593
1901,M,94554,14969,109523,13.667448846361038
1902,F,83923,15448,99371,15.545782974912198
1902,M,137939,18966,156905,12.087568911124565
1903,F,77331,14963,92294,16.212321494354995
1903,M,134824,20424,155248,13.155725033494795
1904,F,52250,9159,61409,14.914751909329253
1904,M,73966,10569,84535,12.502513751700478
1905,F,55510,9499,65009,14.611822978356843
1905,M,95949,13819,109768,12.58927920705488
1906,F,92996,17010,110006,15.462792938566988
1906,M,139096,20705,159801,12.956739945306975
1907,F,56107,9175,65282,14.05441009772985
1907,M,98731,13409,112140,11.9573747101837
1908,F,65643,13017,78660,16.54843630816171
1908,M,109527,18301,127828,14.316894577087963
1909,F,73191,13776,86967,15.840491220807893
1909,M,123194,18322,141516,12.94694592837559
1910,F,80590,14710,95300,15.435466946484786
1910,M,144419,21471,165890,12.942913979142807
1911,F,80486,15843,96329,16.446760580925783
1911,M,148628,22962,171590,13.381898712046155
1912,F,83727,14723,98450,14.95479939055358
1912,M,143779,21093,164872,12.793561065553885
1913,F,73815,13939,87754,15.884176219887413
1913,M,128483,18255,146738,12.440540282680697
1914,F,74132,14721,88853,16.56781425500546
1914,M,127875,19292,147167,13.108917080595514
1915,F,124051,23234,147285,15.774858267983841
1915,M,177605,28413,206018,13.791513362910038
1916,F,94884,14540,109424,13.287761368621142
1916,M,167358,22845,190203,12.010851563855459
1917,F,87495,13952,101447,13.752994174297909
1917,M,123537,17079,140616,12.145844000682711
1918,F,68240,10734,78974,13.591815027730645
1918,M,118685,16785,135470,12.390197091606998
1919,F,72206,13910,86116,16.152631334479075
1919,M,121251,18844,140095,13.450872622149257
1920,F,90339,14195,104534,13.579313907436816
1920,M,129415,18143,147558,12.295504140744656
1921,F,94764,15686,110450,14.201901312811227
1921,M,177506,25882,203388,12.725431195547426
1922,F,132596,23814,156410,15.225369221916758
1922,M,214312,30832,245144,12.577097542668799
1923,F,51547,9127,60674,15.04268714770742
1923,M,98177,13966,112143,12.453742097143826
1924,F,81929,12834,94763,13.543260555280016
1924,M,135601,17599,153200,11.487597911227155
1925,F,121634,19163,140797,13.610375221062949
1925,M,191041,24202,215243,11.244035810688386
1926,F,88283,15180,103463,14.671911697901665
1926,M,139729,20354,160083,12.714654273095832
1927,F,110137,17929,128066,13.999812596629862
1927,M,192626,25266,217892,11.59565289225855
1928,F,94327,15258,109585,13.923438426791988
1928,M,172831,23267,196098,11.864985874409733
1929,F,137785,24171,161956,14.924423917607252
1929,M,246234,35494,281728,12.598676737846434
1930,F,92873,14775,107648,13.725289833531509
1930,M,168568,24400,192968,12.644583557895608
1931,F,171994,29398,201392,14.597402081512673
1931,M,283974,43997,327971,13.41490558616463
1932,F,134551,22901,157452,14.544750146076266
1932,M,284445,40309,324754,12.412164284350617
1933,F,124351,18647,142998,13.040042518077177
1933,M,215784,32024,247808,12.92290805785124
1934,F,157576,27259,184835,14.747747991451835
1934,M,299076,44272,343348,12.894206461083217
1935,F,82565,13554,96119,14.10127030035685
1935,M,162499,23022,185521,12.409376836045514
1936,F,177747,33080,210827,15.690589914953968
1936,M,284883,45396,330279,13.744743080849828
1937,F,125842,18784,144626,12.987982797007453
1937,M,231660,31248,262908,11.885526495960566
1938,F,166273,27171,193444,14.045925435785033
1938,M,251640,35091,286731,12.238300009416491
1939,F,134188,23909,158097,15.122994111210206
1939,M,285159,40317,325476,12.387088448917892
1940,F,157050,25950,183000,14.18032786885246
1940,M,305858,45739,351597,13.008927834992903
1941,F,135590,23913,159503,14.992194504178604
1941,M,251893,37318,289211,12.90338195988396
1942,F,110110,18240,128350,14.211141410206466
1942,M,206303,30548,236851,12.897560069410726
1943,F,122924,20886,143810,14.52332939294903
1943,M,245656,37223,282879,13.158629661445353
1944,F,193659,34741,228400,15.210595446584938
1944,M,252871,36859,289730,12.721844475891347
1945,F,135207,19870,155077,12.81298967609639
1945,M,248063,32319,280382,11.526774186645362
1946,F,163034,31748,194782,16.29924736371944
1946,M,266158,43432,309590,14.028876901708712
1947,F,155449,27306,182755,14.941314875106016
1947,M,303672,40064,343736,11.65545651313799
1948,F,177918,33203,211121,15.727000156308469
1948,M,335325,52078,387403,13.44284891960052
1949,F,146080,25321,171401,14.772959317623584
1949,M,277910,42383,320293,13.232571426787349
1950,F,154427,29100,183527,15.855977594577364
1950,M,303066,49785,352851,14.109354940187218
1951,F,75520,14740,90260,16.330600487480613
1951,M,173615,26745,200360,13.348472749051707
1952,F,66399,13420,79819,16.813039501872986
1952,M,148381,23681,172062,13.763062152014971
1953,F,69554,12928,82482,15.67372275163066
1953,M,152164,22125,174289,12.694432809873257
1954,F,86375,16286,102661,15.863862615793728
1954,M,152725,23147,175872,13.161276382823871
1955,F,80202,15303,95505,16.023244856290248
1955,M,154092,25906,179998,14.392382137579308
1956,F,123808,22537,146345,15.399911168813421
1956,M,203607,32160,235767,13.640585832622886
1957,F,81706,13943,95649,14.577256427145082
1957,M,178799,24188,202987,11.916034031736022
1958,F,103351,20950,124301,16.854248960185355
1958,M,233684,38332,272016,14.091818128345391
1959,F,79054,16670,95724,17.41465045338682
1959,M,168342,27083,195425,13.858513496226173
